peak_date,peak_flow
2019-08-10,363.1
2019-08-22,236.8
2019-09-27,282.2
2019-10-11,186.2
2019-12-08,196.1
2020-01-11,209.0
2020-01-31,206.0
2020-02-09,586.5
2020-07-03,342.0
2020-08-05,288.0
2020-08-25,206.0
2020-11-01,420.0
2020-12-26,192.0
2021-01-19,456.0
2021-01-28,174.0
2021-02-24,258.0
2021-03-10,260.0
2021-03-28,510.0
2021-10-27,250.1
2021-12-30,319.8
2022-02-05,175.3
2022-02-20,436.5
2022-12-19,205.4
2023-01-10,422.2
2023-03-13,326.3
2023-07-23,200.4
2023-09-19,249.5
2023-10-06,343.2
2023-11-13,280.2
2023-12-09,238.3
2023-12-18,192.5
2023-12-27,298.6
2024-01-21,482.8
2024-02-21,193.0
2024-03-13,296.6
